year,week,dead,excess,atoq,ator999
2018,01,385,,323,385
2018,02,413,,365,413
2018,03,442,,391,442
2018,04,496,,432,496
2018,05,479,,427,479
2018,06,432,,375,432
2018,07,455,,400,455
2018,08,429,9.7755,381,429
2018,09,409,5.416,353,409
2018,10,451,-2.9915,392,451
2018,11,415,-11.3991,369,415
2018,12,450,-11.7105,392,450
2018,13,411,-14.513,373,411
2018,14,408,-17.0041,340,408
2018,15,394,-12.6447,353,394
2018,16,454,-11.7105,390,454
2018,17,404,-13.8902,344,404
2018,18,414,-12.0219,353,414
2018,19,456,-13.2674,399,456
2018,20,392,-15.4472,340,392
2018,21,403,-14.2016,343,403
2018,22,413,-18.2497,361,413
2018,23,392,-24.7889,343,392
2018,24,401,-22.9206,355,401
2018,25,422,-23.5433,366,422
2018,26,390,-20.4294,340,390
2018,27,447,-20.7408,384,447
2018,28,431,-19.8067,382,431
2018,29,407,-9.8421,375,407
2018,30,423,-6.7282,366,423
2018,31,387,-8.908,329,387
2018,32,389,-10.1535,340,389
2018,33,411,-8.908,361,411
2018,34,444,-9.8421,387,444
2018,35,426,-10.4649,371,426
2018,36,420,-10.7763,364,420
2018,37,424,-8.5966,372,424
2018,38,458,-1.4346,392,458
2018,39,448,3.5477,394,448
2018,40,423,2.3021,355,423
2018,41,428,1.3679,365,428
2018,42,440,3.2363,386,440
2018,43,436,6.0388,369,436
2018,44,428,5.7274,366,428
2018,45,414,1.3679,348,414
2018,46,430,-0.189,375,430
2018,47,407,-2.3687,351,407
2018,48,385,-8.2852,318,385
2018,49,405,-10.7763,347,405
2018,50,402,-14.8244,341,402
2018,51,406,-16.3813,340,406
2018,52,430,-14.8244,376,430
2019,01,409,-14.8244,343,409
2019,02,389,-11.3991,350,389
2019,03,403,-7.6624,346,403
2019,04,382,-7.351,332,382
2019,05,415,-3.3029,375,415
2019,06,439,-0.5004,387,439
2019,07,418,-5.1713,376,418
2019,08,414,-11.0877,365,414
2019,09,464,-7.9738,408,464
2019,10,429,-7.351,367,429
2019,11,413,-7.0396,361,413
2019,12,433,-3.3029,382,433
2019,13,412,-3.3029,356,412
2019,14,390,-4.2371,334,390
2019,15,424,-1.1232,357,424
2019,16,428,-3.3029,382,428
2019,17,399,-6.7282,356,399
2019,18,429,-3.6143,383,429
2019,19,411,-4.5485,364,411
2019,20,423,-4.2371,371,423
2019,21,415,-1.4346,359,415
2019,22,439,0.7452,392,439
2019,23,427,1.9907,372,427
2019,24,435,6.973,384,435
2019,25,384,4.4819,333,384
2019,26,418,4.1705,372,418
2019,27,388,1.9907,331,388
2019,28,383,-1.746,345,383
2019,29,402,-5.1713,353,402
2019,30,423,-7.0396,369,423
2019,31,379,-10.1535,335,379
2019,32,417,-9.2194,350,417
2019,33,418,-7.6624,362,418
2019,34,403,-6.7282,360,403
2019,35,389,-6.4168,351,389
2019,36,401,-7.351,354,401
2019,37,402,-9.8421,366,402
2019,38,422,-9.5307,371,422
2019,39,385,-12.956,325,385
2019,40,390,-17.3155,328,390
2019,41,394,-21.3636,360,394
2019,42,425,-19.1839,372,425
2019,43,385,-17.3155,335,385
2019,44,360,-20.118,316,360
2019,45,412,-23.232,367,412
2019,46,436,-19.8067,380,436
2019,47,414,-12.0219,361,414
2019,48,401,-9.5307,338,401
2019,49,394,-10.4649,342,394
2019,50,428,-10.1535,374,428
2019,51,414,-1.4346,340,414
2019,52,406,2.3021,345,406
2020,01,431,3.8591,373,431
2020,02,427,12.578,371,427
2020,03,446,20.9856,387,446
2020,04,418,31.2615,364,418
2020,05,414,35.9324,370,414
2020,06,461,41.8488,409,461
2020,07,412,43.0944,345,412
2020,08,395,34.3754,351,395
2020,09,450,29.3931,392,450
2020,10,389,21.9198,344,389
2020,11,382,13.2008,333,382
2020,12,414,7.2844,365,414
2020,13,396,6.6616,351,396
2020,14,344,-0.189,299,344
2020,15,384,-4.8599,346,384
2020,16,345,-9.5307,303,345
2020,17,374,-17.9383,326,374
2020,18,342,-20.118,302,342
2020,19,390,-24.1661,339,390
2020,20,416,-25.1003,360,416
2020,21,395,-20.7408,349,395
2020,22,386,-16.6927,324,386
2020,23,403,-12.6447,356,403
2020,24,383,-8.2852,333,383
2020,25,405,-1.1232,353,405
2020,26,349,4.1705,308,349
2020,27,403,0.7452,350,403
2020,28,395,0.1224,329,395
2020,29,351,0.4338,310,351
2020,30,379,-2.0574,327,379
2020,31,347,-5.7941,299,347
2020,32,400,-9.2194,333,400
2020,33,346,-9.8421,297,346
2020,34,345,-12.0219,302,345
2020,35,362,-21.675,307,362
2020,36,374,-26.6573,332,374
2020,37,382,-26.6573,323,382
2020,38,391,-26.3459,335,391
2020,39,349,-24.1661,290,349
2020,40,359,-26.0345,312,359
2020,41,382,-28.5256,326,382
2020,42,366,-23.5433,309,366
2020,43,330,-21.9864,273,330
2020,44,382,-26.0345,341,382
2020,45,395,-26.6573,333,395
2020,46,366,-25.7231,318,366
2020,47,379,-24.1661,307,379
2020,48,331,-24.4775,285,331
2020,49,331,-26.3459,273,331
2020,50,381,-28.5256,323,381
2020,51,344,-26.0345,294,344
2020,52,345,-26.6573,284,345
2020,53,380,-31.0167,326,380
2021,01,351,-30.0826,296,351
2021,02,380,-27.9028,325,380
2021,03,367,-20.118,318,367
2021,04,409,-5.7941,360,409
2021,05,348,-28.2142,294,348
2021,06,372,0.4338,314,372
2021,07,381,6.973,334,381
2021,08,400,9.4641,351,400
2021,09,342,8.2186,281,342
2021,10,368,6.6616,322,368
2021,11,355,1.6793,294,355
2021,12,421,-4.5485,362,421
2021,13,352,-12.6447,294,352
2021,14,428,-12.0219,369,428
2021,15,377,0.4338,322,377
2021,16,378,2.9249,329,378
2021,17,394,6.973,347,394
2021,18,399,11.6439,334,399
2021,19,420,17.8717,366,420
2021,20,396,21.297,345,396
2021,21,374,25.0337,313,374
2021,22,403,23.7881,346,403
2021,23,379,22.5425,321,379
2021,24,359,24.7223,306,359
2021,25,373,23.1653,320,373
2021,26,388,20.0514,322,388
2021,27,367,17.2489,310,367
2021,28,357,13.2008,307,357
2021,29,407,11.3325,341,407
2021,30,398,11.3325,347,398
2021,31,359,13.2008,314,359
2021,32,379,16.0033,315,379
2021,33,424,16.3147,357,424
2021,34,370,19.4286,313,370
2021,35,379,22.2312,332,379
2021,36,393,23.7881,339,393
2021,37,413,24.0995,356,413
2021,38,390,22.5425,329,390
2021,39,416,23.7881,350,416
2021,40,417,26.2792,351,417
2021,41,375,29.0818,318,375
2021,42,419,27.2134,364,419
2021,43,368,29.3931,317,368
2021,44,381,32.1957,324,381
2021,45,388,29.0818,323,388
2021,46,394,26.902,330,394
2021,47,417,26.2792,352,417
2021,48,384,28.459,321,384
2021,49,421,30.6387,359,421
2021,50,413,35.3096,348,413
2021,51,383,36.8665,314,383
2021,52,389,37.8007,315,389
2022,01,383,39.6691,331,383
2022,02,379,40.9146,326,379
2022,03,378,43.4057,320,378
2022,04,381,42.1602,326,381
2022,05,352,39.3577,311,352
2022,06,363,32.8184,317,363
2022,07,379,30.9501,328,379
2022,08,431,29.0818,370,431
2022,09,361,25.6565,316,361
2022,10,365,19.74,315,365
2022,11,431,20.3628,359,431
2022,12,371,25.6565,317,371
2022,13,383,30.9501,325,383
2022,14,354,30.0159,301,354
2022,15,395,29.3931,330,395
2022,16,411,34.064,352,411
2022,17,383,39.0463,339,383
2022,18,386,36.5551,327,386
2022,19,406,39.0463,349,406
2022,20,405,42.4716,352,405
2022,21,394,46.2083,348,394
2022,22,407,52.125,342,407
2022,23,419,53.059,346,419
2022,24,389,57.418,348,389
2022,25,420,60.221,363,420
2022,26,409,60.844,364,409
2022,27,390,63.023,342,390
2022,28,411,62.089,345,411
2022,29,385,63.335,345,385
2022,30,425,67.071,362,425
2022,31,445,70.185,392,445
2022,32,400,69.563,343,400
2022,33,411,71.742,354,411
2022,34,414,71.12,344,414
2022,35,389,70.497,322,389
2022,36,408,69.563,345,408
2022,37,415,62.089,362,415
2022,38,383,58.041,322,383
2022,39,408,55.55,349,408
2022,40,388,53.682,321,388
2022,41,431,57.418,372,431
2022,42,425,60.844,361,425
2022,43,405,61.466,341,405
2022,44,425,68.317,359,425
2022,45,447,72.365,385,447
2022,46,403,75.168,357,403
2022,47,414,77.97,358,414
2022,48,445,77.97,368,445
2022,49,388,77.347,333,388
2022,50,430,81.084,362,430
2022,51,438,81.395,375,438
2022,52,433,81.707,367,433
2023,01,391,85.755,332,391
2023,02,419,93.851,355,419
2023,03,443,99.768,382,443
2023,04,398,105.995,342,398
2023,05,379,101.636,321,379
2023,06,386,94.474,335,386
2023,07,390,85.755,329,390
2023,08,411,77.97,353,411
2023,09,412,73.299,363,412
2023,10,416,73.922,352,416
2023,11,404,80.461,345,404
2023,12,438,90.114,384,438
2023,13,420,91.049,365,420
2023,14,400,89.18,344,400
2023,15,381,86.066,334,381
2023,16,413,81.707,354,413
2023,17,403,75.79,341,403
2023,18,387,74.856,344,387
2023,19,397,75.79,345,397
2023,20,372,74.545,326,372
2023,21,393,72.677,338,393
2023,22,390,74.233,345,390
2023,23,398,72.677,347,398
2023,24,385,72.677,331,385
2023,25,395,76.102,350,395
2023,26,381,77.347,330,381
2023,27,356,73.922,304,356
2023,28,419,75.79,370,419
2023,29,397,79.216,348,397
2023,30,355,82.018,307,355
2023,31,404,85.444,349,404
2023,32,417,81.395,357,417
2023,33,383,77.659,341,383
2023,34,406,75.168,356,406
2023,35,388,76.725,335,388
2023,36,360,76.102,314,360
2023,37,360,74.545,307,360
2023,38,428,72.365,367,428
2023,39,414,69.874,339,414
2023,40,377,73.299,306,377
2023,41,401,78.282,338,401
2023,42,360,80.15,317,360
2023,43,391,79.216,332,391
2023,44,413,78.904,370,413
2023,45,413,77.97,352,413
2023,46,397,83.264,343,397
2023,47,375,91.36,326,375
2023,48,378,92.606,325,378
2023,49,435,96.654,368,435
2023,50,417,100.702,360,417
2023,51,416,113.469,372,416
2023,52,443,121.254,353,443
2024,01,397,130.284,339,397
2024,02,418,136.2,368,418
2024,03,357,143.674,312,357
2024,04,433,139.003,367,433
2024,05,449,129.35,388,449
2024,06,431,123.122,371,431
2024,07,387,118.762,338,387
2024,08,374,115.648,323,374
2024,09,383,110.355,331,383
2024,10,406,108.798,346,406
2024,11,396,109.421,355,396
2024,12,404,112.846,361,404
2024,13,425,117.517,364,425
2024,14,384,119.385,331,384
2024,15,408,117.205,363,408
2024,16,403,115.026,342,403
2024,17,378,113.78,334,378
2024,18,377,114.092,330,377
2024,19,384,114.714,329,384
2024,20,420,111.289,373,420
2024,21,399,109.109,359,399
2024,22,391,111.6,347,391
2024,23,372,113.157,326,372
2024,24,395,112.535,352,395
2024,25,381,109.732,341,381
2024,26,388,108.486,339,388
2024,27,382,109.109,332,382
2024,28,394,112.223,346,394
2024,29,361,113.157,324,361
2024,30,414,111.6,360,414
2024,31,392,108.798,341,392
2024,32,374,105.061,330,374
2024,33,366,99.456,313,366
2024,34,364,101.324,313,364
2024,35,340,100.39,291,340
2024,36,389,97.276,329,389
2024,37,426,97.588,372,426
2024,38,359,99.768,310,359
2024,39,387,101.636,326,387
2024,40,393,106.307,338,393
2024,41,373,105.995,319,373
2024,42,383,101.636,330,383
2024,43,391,106.307,350,391
2024,44,371,113.469,326,371
2024,45,411,115.96,357,411
2024,46,424,120.631,376,424
2024,47,400,121.565,333,400
2024,48,409,121.876,339,409
2024,49,380,125.924,316,380
2024,50,377,127.793,329,377
2024,51,419,129.35,355,419
2024,52,414,136.823,354,414
2025,01,396,147.41,336,396
2025,02,416,153.015,364,415
2025,03,429,161.423,377,429
2025,04,367,164.537,317,366
2025,05,401,167.028,337,399
2025,06,425,169.208,378,424
2025,07,429,167.339,370,428
2025,08,448,164.848,333,398
2025,09,408,167.962,294,409
2025,10,433,171.699,298,435
2025,11,422,175.124,314,424
2025,12,448,177.615,339,449
2025,13,433,181.041,316,435
2025,14,446,186.023,336,448
2025,15,448,189.448,329,448
2025,16,441,190.382,325,445
2025,17,446,189.137,350,447
2025,18,414,189.76,304,416
2025,19,402,189.137,277,403
2025,20,433,187.268,313,437
2025,21,410,,291,413
2025,22,430,,317,435
2025,23,430,,305,433
2025,24,372,,253,385
2025,25,374,,263,381
2025,26,380,,243,393
2025,28,354,,239,380
2025,27,364,,253,391
2025,29,361,,264,398
2025,30,264,,187,320
2025,31,197,,143,284
2025,32,114,,77,196
